GEO.id,GEO.id2,GEO.display-label,GC_RANK.target-geo-id,GC_RANK.target-geo-id2,GC_RANK.display-label,GC_RANK.display-label,respop72013
0100000US,,United States,1620000US3651000,3651000,"United States - New York city, New York","New York city, New York",8405837
0100000US,,United States,1620000US0644000,0644000,"United States - Los Angeles city, California","Los Angeles city, California",3884307
0100000US,,United States,1620000US1714000,1714000,"United States - Chicago city, Illinois","Chicago city, Illinois",2718782
0100000US,,United States,1620000US4835000,4835000,"United States - Houston city, Texas","Houston city, Texas",2195914
0100000US,,United States,1620000US4260000,4260000,"United States - Philadelphia city, Pennsylvania","Philadelphia city, Pennsylvania",1553165
0100000US,,United States,1620000US0455000,0455000,"United States - Phoenix city, Arizona","Phoenix city, Arizona",1513367
0100000US,,United States,1620000US4865000,4865000,"United States - San Antonio city, Texas","San Antonio city, Texas",1409019
0100000US,,United States,1620000US0666000,0666000,"United States - San Diego city, California","San Diego city, California",1355896
0100000US,,United States,1620000US4819000,4819000,"United States - Dallas city, Texas","Dallas city, Texas",1257676
0100000US,,United States,1620000US0668000,0668000,"United States - San Jose city, California","San Jose city, California",998537
0100000US,,United States,1620000US4805000,4805000,"United States - Austin city, Texas","Austin city, Texas",885400
0100000US,,United States,1620000US1836003,1836003,"United States - Indianapolis city (balance), Indiana","Indianapolis city (balance), Indiana",843393
0100000US,,United States,1620000US1235000,1235000,"United States - Jacksonville city, Florida","Jacksonville city, Florida",842583
0100000US,,United States,1620000US0667000,0667000,"United States - San Francisco city, California","San Francisco city, California",837442
0100000US,,United States,1620000US3918000,3918000,"United States - Columbus city, Ohio","Columbus city, Ohio",822553
0100000US,,United States,1620000US3712000,3712000,"United States - Charlotte city, North Carolina","Charlotte city, North Carolina",792862
0100000US,,United States,1620000US4827000,4827000,"United States - Fort Worth city, Texas","Fort Worth city, Texas",792727
0100000US,,United States,1620000US2622000,2622000,"United States - Detroit city, Michigan","Detroit city, Michigan",688701
0100000US,,United States,1620000US4824000,4824000,"United States - El Paso city, Texas","El Paso city, Texas",674433
0100000US,,United States,1620000US4748000,4748000,"United States - Memphis city, Tennessee","Memphis city, Tennessee",653450
0100000US,,United States,1620000US5363000,5363000,"United States - Seattle city, Washington","Seattle city, Washington",652405
0100000US,,United States,1620000US0820000,0820000,"United States - Denver city, Colorado","Denver city, Colorado",649495
0100000US,,United States,1620000US2507000,2507000,"United States - Boston city, Massachusetts","Boston city, Massachusetts",645966
0100000US,,United States,1620000US4752006,4752006,"United States - Nashville-Davidson metropolitan government (balance), Tennessee","Nashville-Davidson metropolitan government (balance), Tennessee",634464
0100000US,,United States,1620000US2404000,2404000,"United States - Baltimore city, Maryland","Baltimore city, Maryland",622104
0100000US,,United States,1620000US4055000,4055000,"United States - Oklahoma City city, Oklahoma","Oklahoma City city, Oklahoma",610613
0100000US,,United States,1620000US2148006,2148006,"United States - Louisville/Jefferson County metro government (balance), Kentucky","Louisville/Jefferson County metro government (balance), Kentucky",609893
0100000US,,United States,1620000US4159000,4159000,"United States - Portland city, Oregon","Portland city, Oregon",609456
0100000US,,United States,1620000US3240000,3240000,"United States - Las Vegas city, Nevada","Las Vegas city, Nevada",603488
0100000US,,United States,1620000US5553000,5553000,"United States - Milwaukee city, Wisconsin","Milwaukee city, Wisconsin",599164
0100000US,,United States,1620000US3502000,3502000,"United States - Albuquerque city, New Mexico","Albuquerque city, New Mexico",556495
0100000US,,United States,1620000US0477000,0477000,"United States - Tucson city, Arizona","Tucson city, Arizona",526116
0100000US,,United States,1620000US0627000,0627000,"United States - Fresno city, California","Fresno city, California",509924
0100000US,,United States,1620000US0664000,0664000,"United States - Sacramento city, California","Sacramento city, California",479686
0100000US,,United States,1620000US0643000,0643000,"United States - Long Beach city, California","Long Beach city, California",469428
0100000US,,United States,1620000US2938000,2938000,"United States - Kansas City city, Missouri","Kansas City city, Missouri",467007
0100000US,,United States,1620000US0446000,0446000,"United States - Mesa city, Arizona","Mesa city, Arizona",457587
0100000US,,United States,1620000US5182000,5182000,"United States - Virginia Beach city, Virginia","Virginia Beach city, Virginia",448479
0100000US,,United States,1620000US1304000,1304000,"United States - Atlanta city, Georgia","Atlanta city, Georgia",447841
0100000US,,United States,1620000US0816000,0816000,"United States - Colorado Springs city, Colorado","Colorado Springs city, Colorado",439886
0100000US,,United States,1620000US3137000,3137000,"United States - Omaha city, Nebraska","Omaha city, Nebraska",434353
0100000US,,United States,1620000US3755000,3755000,"United States - Raleigh city, North Carolina","Raleigh city, North Carolina",431746
0100000US,,United States,1620000US1245000,1245000,"United States - Miami city, Florida","Miami city, Florida",417650
0100000US,,United States,1620000US0653000,0653000,"United States - Oakland city, California","Oakland city, California",406253
0100000US,,United States,1620000US2743000,2743000,"United States - Minneapolis city, Minnesota","Minneapolis city, Minnesota",400070
0100000US,,United States,1620000US4075000,4075000,"United States - Tulsa city, Oklahoma","Tulsa city, Oklahoma",398121
0100000US,,United States,1620000US3916000,3916000,"United States - Cleveland city, Ohio","Cleveland city, Ohio",390113
0100000US,,United States,1620000US2079000,2079000,"United States - Wichita city, Kansas","Wichita city, Kansas",386552
0100000US,,United States,1620000US4804000,4804000,"United States - Arlington city, Texas","Arlington city, Texas",379577
0100000US,,United States,1620000US2255000,2255000,"United States - New Orleans city, Louisiana","New Orleans city, Louisiana",378715
0100000US,,United States,1620000US0603526,0603526,"United States - Bakersfield city, California","Bakersfield city, California",363630
0100000US,,United States,1620000US1271000,1271000,"United States - Tampa city, Florida","Tampa city, Florida",352957
0100000US,,United States,1620000US1571550,1571550,"United States - Urban Honolulu CDP, Hawaii","Urban Honolulu CDP, Hawaii",347884
0100000US,,United States,1620000US0804000,0804000,"United States - Aurora city, Colorado","Aurora city, Colorado",345803
0100000US,,United States,1620000US0602000,0602000,"United States - Anaheim city, California","Anaheim city, California",345012
0100000US,,United States,1620000US0669000,0669000,"United States - Santa Ana city, California","Santa Ana city, California",334227
0100000US,,United States,1620000US2965000,2965000,"United States - St. Louis city, Missouri","St. Louis city, Missouri",318416
0100000US,,United States,1620000US0662000,0662000,"United States - Riverside city, California","Riverside city, California",316619
0100000US,,United States,1620000US4817000,4817000,"United States - Corpus Christi city, Texas","Corpus Christi city, Texas",316381
0100000US,,United States,1620000US2146027,2146027,"United States - Lexington-Fayette urban county, Kentucky","Lexington-Fayette urban county, Kentucky",308428
0100000US,,United States,1620000US4261000,4261000,"United States - Pittsburgh city, Pennsylvania","Pittsburgh city, Pennsylvania",305841
0100000US,,United States,1620000US0203000,0203000,"United States - Anchorage municipality, Alaska","Anchorage municipality, Alaska",300950
0100000US,,United States,1620000US0675000,0675000,"United States - Stockton city, California","Stockton city, California",298118
0100000US,,United States,1620000US3915000,3915000,"United States - Cincinnati city, Ohio","Cincinnati city, Ohio",297517
0100000US,,United States,1620000US2758000,2758000,"United States - St. Paul city, Minnesota","St. Paul city, Minnesota",294873
0100000US,,United States,1620000US3977000,3977000,"United States - Toledo city, Ohio","Toledo city, Ohio",282313
0100000US,,United States,1620000US3728000,3728000,"United States - Greensboro city, North Carolina","Greensboro city, North Carolina",279639
0100000US,,United States,1620000US3451000,3451000,"United States - Newark city, New Jersey","Newark city, New Jersey",278427
0100000US,,United States,1620000US4858016,4858016,"United States - Plano city, Texas","Plano city, Texas",274409
0100000US,,United States,1620000US3231900,3231900,"United States - Henderson city, Nevada","Henderson city, Nevada",270811
0100000US,,United States,1620000US3128000,3128000,"United States - Lincoln city, Nebraska","Lincoln city, Nebraska",268738
0100000US,,United States,1620000US3611000,3611000,"United States - Buffalo city, New York","Buffalo city, New York",258959
0100000US,,United States,1620000US3436000,3436000,"United States - Jersey City city, New Jersey","Jersey City city, New Jersey",257342
0100000US,,United States,1620000US0613392,0613392,"United States - Chula Vista city, California","Chula Vista city, California",256780
0100000US,,United States,1620000US1825000,1825000,"United States - Fort Wayne city, Indiana","Fort Wayne city, Indiana",256496
0100000US,,United States,1620000US1253000,1253000,"United States - Orlando city, Florida","Orlando city, Florida",255483
0100000US,,United States,1620000US1263000,1263000,"United States - St. Petersburg city, Florida","St. Petersburg city, Florida",249688
0100000US,,United States,1620000US0412000,0412000,"United States - Chandler city, Arizona","Chandler city, Arizona",249146
0100000US,,United States,1620000US4841464,4841464,"United States - Laredo city, Texas","Laredo city, Texas",248142
0100000US,,United States,1620000US5157000,5157000,"United States - Norfolk city, Virginia","Norfolk city, Virginia",246139
0100000US,,United States,1620000US3719000,3719000,"United States - Durham city, North Carolina","Durham city, North Carolina",245475
0100000US,,United States,1620000US5548000,5548000,"United States - Madison city, Wisconsin","Madison city, Wisconsin",243344
0100000US,,United States,1620000US4845000,4845000,"United States - Lubbock city, Texas","Lubbock city, Texas",239538
0100000US,,United States,1620000US0636770,0636770,"United States - Irvine city, California","Irvine city, California",236716
0100000US,,United States,1620000US3775000,3775000,"United States - Winston-Salem city, North Carolina","Winston-Salem city, North Carolina",236441
0100000US,,United States,1620000US0427820,0427820,"United States - Glendale city, Arizona","Glendale city, Arizona",234632
0100000US,,United States,1620000US4829000,4829000,"United States - Garland city, Texas","Garland city, Texas",234566
0100000US,,United States,1620000US1230000,1230000,"United States - Hialeah city, Florida","Hialeah city, Florida",233394
0100000US,,United States,1620000US3260600,3260600,"United States - Reno city, Nevada","Reno city, Nevada",233294
0100000US,,United States,1620000US5116000,5116000,"United States - Chesapeake city, Virginia","Chesapeake city, Virginia",230571
